省份编码,省份,年份,农村居民家庭拥有汽车数量(辆/百户),农村居民家庭拥有大中型拖拉机数量(台/百户),农村居民家庭拥有小型和手扶拖拉机数量(台/百户),农村居民家庭拥有机动脱粒机数量(台/百户),农村居民家庭拥有胶轮大车数量(辆/百户),农村居民家庭拥有水泵数量(台/百户),农村居民家庭拥有役畜数量(头/百户),农村居民家庭拥有产品畜数量(头/百户)
360000,江西省,2015,,,,,,,,
360000,江西省,2014,,,,,,,,
360000,江西省,2013,,,,,,,,
360000,江西省,2012,2.69387755102041,1.38775510204082,10.1224489795918,25.3061224489796,2.3265306122449,28.0938775510204,21.9755102040816,16.3673469387755
360000,江西省,2011,2.6734693877551,0.897959183673469,9.22448979591837,24.1224489795918,3.10204081632653,25.7142857142857,24.3326530612245,23.6326530612245
360000,江西省,2010,2.02040816326531,0.530612244897959,5.24489795918367,27.7918367346939,10.1224489795918,23.2869387755102,30.834693877551,11.1020408163265
360000,江西省,2009,1.75,0.69,4.35,26.98,9.88,22.61,32.33,12.9
360000,江西省,2008,1.39,0.29,4.08,25.59,8.69,21.94,31.44,9.76
360000,江西省,2007,1.12244897959184,0.285714285714286,3.79591836734694,23.6081632653061,10.0816326530612,20.0665306122449,33.0118367346939,10.5714285714286
360000,江西省,2006,0.812244897959184,0.122448979591837,2.91836734693878,21.5877551020408,9.51020408163265,16.8828571436357,39.4257142874659,12.5714285714286
360000,江西省,2005,0.969387755102041,0.122448979591837,2.38775510204082,21.1591836734694,8.08163265306122,16.2093877558805,41.2567347039982,18.8387755102041
360000,江西省,2004,0.714285714285714,0.204081632653061,1.95918367346939,19.8489795918367,11.3673469387755,17.2530612244898,43.8828571562864,13.8163265306122
360000,江西省,2003,0.816326530612245,0.408163265306122,2.40816326530612,19.1085714285714,10.9591836734694,14.985306122449,45.5314285714286,16.1836734693878
360000,江西省,2002,0.64,0.33,2.67,19.89,13.0,11.2,46.81,22.88
360000,江西省,2001,0.738775510204082,0.408163265306122,2.22040816326531,19.4204081632653,13.4285714285714,10.4775510204082,49.1551020408163,23.3183673469388
360000,江西省,2000,0.816326530612245,0.489795918367347,2.12244897959184,18.065306122449,14.3877551020408,8.15102040816326,49.669387755102,23.6775510204082
370000,山东省,2019,,,,,,,,
370000,山东省,2018,,,,,,,,
370000,山东省,2017,,,,,,,,
370000,山东省,2016,,,,,,,,
370000,山东省,2015,,,,,,,,
370000,山东省,2014,,,,,,,,
370000,山东省,2013,,,,,,,,
370000,山东省,2012,4.83333333333333,5.46428571428571,24.4595238095238,4.00595238095238,5.45238095238095,44.1966666666667,1.57142857142857,59.5952380952381
370000,山东省,2011,4.36428571428571,4.20238095238095,25.0119047619048,1.95238095238095,4.85714285714286,43.3592857142857,1.85714285714286,43.9285714285714
370000,山东省,2010,3.72619047619048,4.22619047619048,23.4333333333333,2.97619047619048,13.2571428571429,45.2628571428571,5.35714285714286,40.3333333333333
370000,山东省,2009,3.61,3.73,24.09,2.55,13.45,44.86,6.63,34.07
370000,山东省,2008,3.07,3.65,24.35,2.74,13.39,43.86,7.5,39.64
370000,山东省,2007,3.11904761904762,3.43571428571429,24.1404761904762,2.4047619047619,13.5357142857143,43.1488095238095,9.41190476190476,32.9285714285714
370000,山东省,2006,2.95238095238095,3.24761904761905,30.7714285714286,2.64761904761905,15.5357142857143,42.6440476190476,10.2619047619048,22.9285714285714
370000,山东省,2005,2.85714285714286,3.28571428571429,29.7,1.90952380952381,17.0357142857143,41.89761904769,12.047619047619,31.9047619047619
370000,山东省,2004,1.57142857142857,4.66190476190476,25.9678571428571,3.775,19.702380952381,43.1638095240508,20.7619047619048,47.4523809523809
370000,山东省,2003,1.63095238095238,2.94238095238095,26.6595238095238,3.24404761904762,25.3214285714286,42.8509523809524,23.2619047619048,29.5
370000,山东省,2002,1.71,3.87,28.86,4.35,27.47,45.17,25.79,47.31
370000,山东省,2001,1.43571428571429,3.65238095238095,25.7547619047619,4.54047619047619,28.447619047619,41.4285714285714,26.9523809523809,43.1904761904762
370000,山东省,2000,4.01904761904762,3.49285714285714,24.5309523809524,5.06904761904762,25.1714285714286,37.897619047619,26.9404761904762,28.452380952381
410000,河南省,2019,,,,,,,,
410000,河南省,2018,,,,,,,,
410000,河南省,2017,,,,,,,,
410000,河南省,2016,,,,,,,,
410000,河南省,2015,,,,,,,,
410000,河南省,2014,,,,,,,,
410000,河南省,2013,,,,,,,,
410000,河南省,2012,3.40476190476191,4.75380952380952,34.0738095238095,10.3511904761905,2.71428571428571,43.3497619047619,9.08333333333333,33.5238095238095
410000,河南省,2011,3.38095238095238,4.33714285714286,35.2690476190476,9.16190476190476,2.66666666666667,41.3711904761905,6.95238095238095,45.7857142857143
410000,河南省,2010,2.04761904761905,10.1071428571429,31.1738095238095,7.15238095238095,8.52380952380952,37.602380952381,5.57142857142857,26.8333333333333
410000,河南省,2009,2.43,11.68,34.66,4.73,8.1,36.0,7.55,33.02
410000,河南省,2008,1.73,9.0,36.19,6.66,9.29,36.61,9.27,39.83
410000,河南省,2007,1.44047619047619,7.76190476190476,38.9714285714286,6.21071428571429,9.16666666666667,36.0828571428571,9.15476190476191,32.0476190476191
410000,河南省,2006,1.72142857142857,5.84047619047619,46.0690476190476,6.31071428571429,10.6904761904762,32.3238095238095,10.702380952381,25.3571428571429
410000,河南省,2005,1.41190476190476,5.57857142857143,44.1761904761905,6.50714285714286,10.8809523809524,31.9840476195017,12.9166666666667,31.6904761904762
410000,河南省,2004,0.738095238095238,5.98333333333333,42.1380952380952,12.1435714290256,16.9285714285714,41.3702380952381,16.6642857142857,29.1666666666667
410000,河南省,2003,0.952380952380952,4.00714285714286,44.6035714285714,13.0769047619048,17.3214285714286,40.0071428571429,20.2833333333333,31.4047619047619
410000,河南省,2002,0.62,2.86,40.51,13.02,19.31,43.06,22.31,49.94
410000,河南省,2001,0.595238095238095,3.44761904761905,37.6,13.8642857142857,18.0952380952381,39.9666666666667,23.3595238095238,45.0238095238095
410000,河南省,2000,0.547619047619048,3.28809523809524,35.6619047619048,12.4047619047619,18.952380952381,35.4785714285714,25.3571428571429,25.8333333333333
420000,湖北省,2019,,,,,,,,
420000,湖北省,2018,,,,,,,,
420000,湖北省,2017,,,,,,,,
420000,湖北省,2016,,,,,,,,
420000,湖北省,2015,,,,,,,,
420000,湖北省,2014,,,,,,,,
420000,湖北省,2013,,,,,,,,
420000,湖北省,2012,2.56060606060606,2.27272727272727,17.6424242424242,6.17727272727273,3.15757575757576,30.8848484848485,13.5242424242424,29.4393939393939
420000,湖北省,2011,2.40909090909091,2.24242424242424,16.4848484848485,4.75757575757576,2.3030303030303,28.9454545454545,13.6506060606061,14.0909090909091
420000,湖北省,2010,1.12121212121212,0.909090909090909,18.6666666666667,3.96969696969697,8.27272727272727,28.1484848484848,22.6616666666667,18.3181818181818
420000,湖北省,2009,1.3,1.85,16.06,2.58,9.7,25.69,25.23,18.01
420000,湖北省,2008,1.21,1.64,12.13,1.76,9.79,24.82,24.32,20.28
420000,湖北省,2007,1.04545454545455,1.24242424242424,12.6181818181818,1.3030303030303,9.24242424242424,23.9090909090909,24.0366666666667,19.0681818181818
420000,湖北省,2006,1.03030303030303,1.12121212121212,13.9121212121212,1.25757575757576,10.9515151515152,24.3810606060606,25.634848502188,19.7424242424242
420000,湖北省,2005,1.01515151515152,0.863636363636364,13.0848484848485,1.59090909090909,11.1515151515152,21.9090909090909,26.6672727404219,22.2787878787879
420000,湖北省,2004,0.545454545454546,0.939393939393939,12.3515151515152,3.06060606060606,13.3333333333333,21.0287878787879,30.7169696992094,14.2121212121212
420000,湖北省,2003,0.681818181818182,1.18181818181818,10.7151515151515,2.58787878787879,14.9242424242424,17.6378787878788,29.4642424242424,12.8393939393939
420000,湖北省,2002,0.55,1.27,9.9,2.92,15.44,21.08,42.98,25.9
420000,湖北省,2001,0.666666666666667,1.3030303030303,8.68787878787879,3.02727272727273,12.6666666666667,18.5787878787879,40.2242424242424,31.7818181818182
420000,湖北省,2000,0.560606060606061,0.848484848484849,7.69393939393939,1.93333333333333,10.1818181818182,12.6363636363636,42.3848484848485,27.5454545454545
430000,湖南省,2019,,,,,,,,
430000,湖南省,2018,,,,,,,,
430000,湖南省,2017,,,,,,,,
430000,湖南省,2016,,,,,,,,
430000,湖南省,2015,,,,,,,,
430000,湖南省,2014,,,,,,,,
430000,湖南省,2013,,,,,,,,
430000,湖南省,2012,2.81081081081081,0.513513513513514,4.02702702702703,17.9954054054054,1.64864864864865,29.5048648648649,10.9894594594595,22.4864864864865
430000,湖南省,2011,2.56756756756757,0.486486486486487,3.59459459459459,17.027027027027,1.64864864864865,28.3513513513514,12.6435135135135,26.5405405405405
430000,湖南省,2010,1.70945945945946,0.567567567567568,2.2,21.4521621621622,4.04054054054054,29.7972972972973,17.0832432432432,19.027027027027
430000,湖南省,2009,1.36,0.38,2.19,22.2,4.07,27.89,17.4,21.24
430000,湖南省,2008,0.86,0.32,2.16,21.63,3.53,27.65,17.32,18.05
430000,湖南省,2007,0.95945945945946,0.305405405405405,2.16216216216216,21.7575675675676,3.74324324324324,27.2297297297297,18.8851351351351,18.7297297297297
430000,湖南省,2006,0.891891891891892,0.243243243243243,2.43243243243243,22.649459459975,3.82432432432432,26.1135135135135,18.9948648675068,21.4594594594595
430000,湖南省,2005,0.837837837837838,0.243243243243243,2.16216216216216,21.1418918918919,3.56216216216216,24.4948648658959,18.7308108130017,25.6067567567568
430000,湖南省,2004,1.14864864864865,0.351351351351351,2.30540540540541,17.6310810810811,4.21621621621622,17.8089189181457,20.9172972988438,20.5810810810811
430000,湖南省,2003,0.797297297297297,0.459459459459459,2.72162162162162,17.1013513513514,4.0,16.1062162162162,22.3732432432432,19.9189189189189
430000,湖南省,2002,1.0,0.03,3.08,4.18,4.07,16.85,22.09,26.46
430000,湖南省,2001,0.905405405405405,0.027027027027027,3.20810810810811,3.73513513513513,4.01351351351351,16.527027027027,23.4027027027027,26.0162162162162
430000,湖南省,2000,1.02702702702703,0.256756756756757,3.30810810810811,16.2405405405405,3.86486486486486,15.5756756756757,23.3378378378378,23.472972972973
440000,广东省,2019,,,,,,,,
440000,广东省,2018,,,,,,,,
440000,广东省,2017,,,,,,,,
440000,广东省,2016,,,,,,,,
440000,广东省,2015,,,,,,,,
440000,广东省,2014,,,,,,,,
440000,广东省,2013,,,,,,,,
440000,广东省,2012,2.22258064516132,0.5483870967742,6.74193548387105,14.993548387097,4.46774193548393,13.8709677419357,14.6870967741937,15.7525116103015
440000,广东省,2011,2.41292026203023,0.580661794289866,6.83872328623716,14.2032257686493,4.69353635337362,12.8870980972731,14.8338873676275,36.7741922883114
440000,广东省,2010,1.88671875,0.5859375,7.24609375,18.32421875,4.90234375,22.348828125,24.43984375,20.0
440000,广东省,2009,1.84,0.72,6.09,19.4,2.99,20.13,24.83,22.07
440000,广东省,2008,1.38,0.84,6.58,18.37,3.93,20.97,26.44,23.05
440000,广东省,2007,1.23828125,0.4296875,6.145703125,19.3125,3.73046875,20.075390625,26.039453125,16.8359375
440000,广东省,2006,1.08203125,0.3515625,5.87226562574506,16.671875,3.61328125,19.6457031257451,28.3171875029802,13.8671875
440000,广东省,2005,1.00390625,0.234375,6.10664062574506,13.953125,4.58984375,17.1875,26.9488281272352,18.0078125
440000,广东省,2004,1.2109375,0.46875,7.89570312574506,14.1000000014901,5.546875,14.201171875,30.8804687522352,20.390625
440000,广东省,2003,1.30859375,0.15625,7.890625,13.48046875,4.86328125,11.994140625,29.50546875,20.6171875
440000,广东省,2002,1.33,0.08,8.29,11.86,4.69,13.36,34.77,23.74
440000,广东省,2001,0.95703125,0.1953125,8.83203125,12.15625,4.9609375,12.99609375,37.51953125,25.17578125
440000,广东省,2000,1.34765625,0.1953125,9.05859375,12.4140625,5.859375,13.36328125,39.7265625,27.9296875
450000,广西壮族自治区,2019,,,,,,,,
450000,广西壮族自治区,2018,,,,,,,,
450000,广西壮族自治区,2017,,,,,,,,
450000,广西壮族自治区,2016,,,,,,,,
450000,广西壮族自治区,2015,,,,,,,,
450000,广西壮族自治区,2014,,,,,,,,
450000,广西壮族自治区,2013,,,,,,,,
450000,广西壮族自治区,2012,1.9047619047619,2.14285714285714,20.1731601731602,28.3116883116883,4.11255411255411,31.8181818181818,38.7445887445887,40.3463203463203
450000,广西壮族自治区,2011,1.81818181818182,1.99134199134199,18.8311688311688,26.5497835497835,3.80952380952381,28.6147186147186,40.0865800865801,35.3246753246753
450000,广西壮族自治区,2010,1.2987012987013,1.6017316017316,19.7792207792208,23.995670995671,4.28571428571429,23.5238095238095,44.7619047619048,35.5844155844156
450000,广西壮族自治区,2009,1.19,1.34,19.35,22.39,3.68,20.77,46.97,37.53
450000,广西壮族自治区,2008,1.02,1.65,17.57,20.65,3.59,19.32,49.03,33.77
450000,广西壮族自治区,2007,0.865800865800866,1.55844155844156,16.3160173160173,19.6406926406926,3.41991341991342,17.5194805194805,51.2467532467532,30.5194805194805
450000,广西壮族自治区,2006,0.606060606060606,1.86147186147186,15.9480519480519,20.5584415584416,3.67965367965368,16.5541125541126,55.0562770562771,36.1471861471861
450000,广西壮族自治区,2005,0.735930735930736,1.38528138528139,14.2077922077922,20.5541125541126,4.28571428571429,15.5367965367965,54.1147186147186,38.961038961039
450000,广西壮族自治区,2004,0.519480519480519,0.519480519480519,8.93939393939394,13.8164502181016,4.11688311688312,13.4112554112554,57.835064937542,34.7619047619048
450000,广西壮族自治区,2003,0.403896103896104,0.432900432900433,8.3982683982684,12.5969696969697,4.23809523809524,12.4632034632035,56.9380952380952,35.974025974026
450000,广西壮族自治区,2002,0.48,0.3,8.04,12.0,3.65,12.25,61.02,40.91
