省份编码,省份,年份,商品房销售面积(万平方米),住宅商品房销售面积(万平方米),别墅、高档公寓销售面积(万平方米),办公楼商品房销售面积(万平方米),商业营业用房销售面积(万平方米),其他商品房销售面积(万平方米)
360000,江西省,2003,865.8299,693.5256,7.2813,6.089,155.519,10.6963
360000,江西省,2002,562.09,466.81,9.22,6.75,79.92,8.6
360000,江西省,2001,436.8232,372.6927,23.1945,7.8175,51.5304,4.7826
360000,江西省,2000,286.6853,242.287,1.6879,3.5715,37.3093,3.5175
370000,山东省,2019,12727.2548,11429.0058,147.2308,201.6724,582.1262,514.4504
370000,山东省,2018,13454.7338,11755.3712,191.0995,274.4813,889.4186,535.4627
370000,山东省,2017,12813.181,11201.0436,238.9424,273.3625,823.8668,514.9081
370000,山东省,2016,11789.877,10598.5784,200.4311,196.4103,635.6903,359.198
370000,山东省,2015,9727.0416,8526.8531,168.9742,300.0395,635.9158,264.2332
370000,山东省,2014,9180.1182,7972.4856,134.294,185.5285,674.6927,347.4114
370000,山东省,2013,10329.8002,9300.2852,158.3765,189.2927,600.1172,240.1051
370000,山东省,2012,8632.7614,7745.8724,165.9602,135.3808,553.7524,197.7558
370000,山东省,2011,9576.0078,8741.1567,160.5249,71.3988,604.017,159.4353
370000,山东省,2010,9293.88,8448.26,139.1,82.47,607.59,155.57
370000,山东省,2009,7016.35,6478.28,85.71,62.21,384.12,91.74
370000,山东省,2008,5507.64,5039.4,93.02,56.63,308.36,103.25
370000,山东省,2007,5063.0087,4710.6645,146.6043,50.354,264.4365,37.5537
370000,山东省,2006,4172.2055,3824.4151,103.9764,41.5823,277.25,28.9581
370000,山东省,2005,3754.9245,3417.7512,59.9403,37.5514,271.6912,27.9307
370000,山东省,2004,2525.1697,2207.2822,,41.4189,249.9326,26.536
370000,山东省,2003,2251.5242,2005.0334,64.7501,24.9285,200.8372,20.7251
370000,山东省,2002,1695.84,1482.23,39.21,24.55,161.43,27.62
370000,山东省,2001,1403.2536,1238.7495,21.7187,24.2525,122.2994,17.9522
370000,山东省,2000,1078.3752,934.198,19.2732,21.4017,103.7831,18.9924
410000,河南省,2019,14277.5523,12981.6337,53.4256,217.1176,881.8858,196.9152
410000,河南省,2018,13990.4995,12482.8755,64.5007,223.9998,1042.887,240.7372
410000,河南省,2017,13313.8881,11707.2575,94.3365,236.8966,1148.243,221.491
410000,河南省,2016,11306.2709,10137.1332,90.5628,173.3535,816.6483,179.1359
410000,河南省,2015,8556.3441,7645.8386,58.6436,149.5033,639.179,121.8232
410000,河南省,2014,7879.6655,7009.0894,32.7236,181.6723,554.6006,134.3032
410000,河南省,2013,7310.2135,6561.4092,41.2277,205.4418,444.9933,98.3692
410000,河南省,2012,5968.4858,5455.501,33.6893,126.4867,297.9604,88.5377
410000,河南省,2011,6275.1633,5725.1212,47.1597,149.1837,326.4863,74.3721
410000,河南省,2010,5452.23,5092.49,41.14,60.79,246.44,52.51
410000,河南省,2009,4335.09,4017.45,85.27,65.94,218.14,33.55
410000,河南省,2008,3191.98,2943.36,65.55,43.13,186.76,18.72
410000,河南省,2007,3928.0369,3569.1829,146.6796,64.8752,260.2249,33.7539
410000,河南省,2006,2409.3265,2190.9901,115.2453,19.5693,188.6486,10.1185
410000,河南省,2005,1724.8213,1539.6044,94.0561,24.8549,154.9091,5.4529
410000,河南省,2004,1043.5078,938.1978,,8.17,91.2262,5.9138
410000,河南省,2003,862.7149,795.7767,14.4028,9.6252,51.8458,5.4672
410000,河南省,2002,639.94,584.74,28.57,5.51,41.02,8.66
410000,河南省,2001,511.6802,468.7095,25.5008,8.7604,28.0302,6.1801
410000,河南省,2000,509.2133,438.4129,23.4408,5.522,59.019,6.2594
420000,湖北省,2019,8602.039,7967.0887,103.4309,135.2455,372.7591,126.9457
420000,湖北省,2018,8865.3846,8101.7114,147.5226,194.8882,428.1617,140.6233
420000,湖北省,2017,8155.208,7363.6717,157.1353,176.6525,483.2705,131.6133
420000,湖北省,2016,7427.158,6789.2091,143.6853,103.7334,393.7381,140.4774
420000,湖北省,2015,6244.5468,5647.724,113.1053,61.4198,408.0673,127.3357
420000,湖北省,2014,5601.9833,5002.5978,95.6826,65.9121,423.2499,110.2235
420000,湖北省,2013,5298.5406,4765.6848,125.8742,92.7605,358.376,81.7193
420000,湖北省,2012,4037.8459,3620.0951,59.0584,69.749,256.8692,91.1326
420000,湖北省,2011,4187.6189,3788.6831,62.3628,35.6848,281.5074,81.7436
420000,湖北省,2010,3508.61,3236.88,96.12,24.19,184.41,63.13
420000,湖北省,2009,2718.05,2576.32,77.43,14.1,106.61,21.01
